code_version,experiment_id,model,aggregation,non_iid_type,alpha,mu,accuracy,f1,precision,recall,auc_roc,loss,convergence_round,best_validation_round,early_stopping_round,total_rounds,runtime_sec,train_examples,validation_examples,test_examples,num_clients,seed
corrected-20exp-v1,E1,distilbert,fedavg,label_skew_iid,100.0,0.0,0.9961240310077519,0.9961240310077519,0.9961240310077519,0.9961240310077519,0.9990648098071029,0.02039284986992504,1,1,6,6,1070.3,4814,1032,1032,5,42
corrected-20exp-v1,E10,tinybert,fedavg,label_skew_moderate,0.5,0.0,0.9961240310077519,0.9961240164503953,0.9961314844583327,0.9961240310077519,0.998651673577309,0.027990349084716433,2,2,7,7,389.6,4814,1032,1032,5,42
corrected-20exp-v1,E11,tinybert,fedavg,label_skew_severe,0.1,0.0,0.8895348837209303,0.8882654398608066,0.9080800768032232,0.8895348837209303,0.9952451775734631,0.5637535822339529,6,6,11,11,544.4,4814,1032,1032,5,42
corrected-20exp-v1,E12,tinybert,fedavg,feature_skew,,0.0,0.9932170542635659,0.9932170478947403,0.9932189066871984,0.9932170542635659,0.997836668469443,0.07952648938395256,1,1,6,6,348.7,4814,1032,1032,5,42
corrected-20exp-v1,E13,tinybert,fedprox,label_skew_iid,,0.1,0.997093023255814,0.9970929986901593,0.9971098265895953,0.997093023255814,0.9989371131542576,0.019573754154492255,4,4,9,9,685.6,4814,1032,1032,5,42
corrected-20exp-v1,E14,tinybert,fedprox,label_skew_moderate,,0.1,0.9961240310077519,0.9961240164503953,0.9961314844583327,0.9961240310077519,0.9990122288324019,0.021413845192395555,5,5,10,10,752.5,4814,1032,1032,5,42
corrected-20exp-v1,E15,tinybert,fedprox,label_skew_severe,,0.1,0.9748062015503876,0.9748015641962833,0.9751559798541682,0.9748062015503876,0.996377546421489,0.09988697866237788,19,19,20,20,1384.7,4814,1032,1032,5,42
corrected-20exp-v1,E16,tinybert,fedprox,feature_skew,,0.1,0.9961240310077519,0.9961240164503953,0.9961314844583327,0.9961240310077519,0.9985164653566493,0.02466037303801308,3,3,8,8,625.0,4814,1032,1032,5,42
corrected-20exp-v1,E17,distilbert,fedavg,quantity,,0.0,0.998062015503876,0.9980620082251976,0.9980694980694981,0.998062015503876,0.999481701820804,0.01281041759986777,1,1,6,6,993.7,4814,1032,1032,5,42
corrected-20exp-v1,E18,distilbert,fedprox,quantity,,0.1,0.9941860465116279,0.9941860465116279,0.9941860465116279,0.9941860465116279,0.9990760771588245,0.026582317924950014,1,1,6,6,1161.2,4814,1032,1032,5,42
corrected-20exp-v1,E19,tinybert,fedavg,quantity,,0.0,0.997093023255814,0.9970929986901593,0.9971098265895953,0.997093023255814,0.9989145784508142,0.03829141582051913,1,1,6,6,353.0,4814,1032,1032,5,42
corrected-20exp-v1,E2,distilbert,fedavg,label_skew_moderate,0.5,0.0,0.9941860465116279,0.9941860465116279,0.9941860465116279,0.9941860465116279,0.9987343008232679,0.027597100188767956,1,1,6,6,1074.3,4814,1032,1032,5,42
corrected-20exp-v1,E20,tinybert,fedprox,quantity,,0.1,0.9961240310077519,0.9961240164503953,0.9961314844583327,0.9961240310077519,0.9979042725797729,0.06171999808198722,1,1,6,6,494.1,4814,1032,1032,5,42
corrected-20exp-v1,E3,distilbert,fedavg,label_skew_severe,0.1,0.0,0.9728682170542635,0.9728558814135683,0.973729362009542,0.9728682170542635,0.9976977044648758,0.0787710451788103,3,3,8,8,1429.5,4814,1032,1032,5,42
corrected-20exp-v1,E4,distilbert,fedavg,feature_skew,,0.0,0.998062015503876,0.9980620082251976,0.9980694980694981,0.998062015503876,0.9992751337059071,0.01730976289983901,6,6,11,11,1888.3,4814,1032,1032,5,42
corrected-20exp-v1,E5,distilbert,fedprox,label_skew_iid,,0.1,0.9941860465116279,0.9941860465116279,0.9941860465116279,0.9941860465116279,0.9990234961841234,0.02797154145127581,1,1,6,6,1582.0,4814,1032,1032,5,42
corrected-20exp-v1,E6,distilbert,fedprox,label_skew_moderate,,0.1,0.9941860465116279,0.9941860465116279,0.9941860465116279,0.9941860465116279,0.9988131722853193,0.04351410034379756,1,1,6,6,1925.5,4814,1032,1032,5,42
corrected-20exp-v1,E7,distilbert,fedprox,label_skew_severe,,0.1,0.9728682170542635,0.9728580231142638,0.9735796822339913,0.9728682170542635,0.9971531157983294,0.07543047581070153,7,7,12,12,2220.9,4814,1032,1032,5,42
corrected-20exp-v1,E8,distilbert,fedprox,feature_skew,,0.1,0.9941860465116279,0.9941860465116279,0.9941860465116279,0.9941860465116279,0.9988657532600204,0.035760537504630034,1,1,6,6,1159.1,4814,1032,1032,5,42
corrected-20exp-v1,E9,tinybert,fedavg,label_skew_iid,100.0,0.0,0.997093023255814,0.9970929986901593,0.9971098265895953,0.997093023255814,0.9990854666185927,0.01752410807047588,3,3,8,8,429.5,4814,1032,1032,5,42
