experiment_id,model,aggregation,non_iid_type,alpha,mu,seed,num_clients,training_total,positive_total,negative_total,smallest_client,largest_client,min_positive_pct,max_positive_pct
E1,distilbert,fedavg,label_skew_iid,100.0,0.0,42,5,4814,2407,2407,870,1031,48.0431,52.9787
E2,distilbert,fedavg,label_skew_moderate,0.5,0.0,42,5,4814,2407,2407,429,1965,7.4572,91.3486
E3,distilbert,fedavg,label_skew_severe,0.1,0.0,42,5,4814,2407,2407,47,2397,0.0,99.9166
E4,distilbert,fedavg,feature_skew,,0.0,42,5,4814,2407,2407,962,964,50.0,50.0
E5,distilbert,fedprox,label_skew_iid,100.0,0.1,42,5,4814,2407,2407,870,1031,48.0431,52.9787
E6,distilbert,fedprox,label_skew_moderate,0.5,0.1,42,5,4814,2407,2407,429,1965,7.4572,91.3486
E7,distilbert,fedprox,label_skew_severe,0.1,0.1,42,5,4814,2407,2407,47,2397,0.0,99.9166
E8,distilbert,fedprox,feature_skew,,0.1,42,5,4814,2407,2407,962,964,50.0,50.0
E9,tinybert,fedavg,label_skew_iid,100.0,0.0,42,5,4814,2407,2407,870,1031,48.0431,52.9787
E10,tinybert,fedavg,label_skew_moderate,0.5,0.0,42,5,4814,2407,2407,429,1965,7.4572,91.3486
E11,tinybert,fedavg,label_skew_severe,0.1,0.0,42,5,4814,2407,2407,47,2397,0.0,99.9166
E12,tinybert,fedavg,feature_skew,,0.0,42,5,4814,2407,2407,962,964,50.0,50.0
E13,tinybert,fedprox,label_skew_iid,100.0,0.1,42,5,4814,2407,2407,870,1031,48.0431,52.9787
E14,tinybert,fedprox,label_skew_moderate,0.5,0.1,42,5,4814,2407,2407,429,1965,7.4572,91.3486
E15,tinybert,fedprox,label_skew_severe,0.1,0.1,42,5,4814,2407,2407,47,2397,0.0,99.9166
E16,tinybert,fedprox,feature_skew,,0.1,42,5,4814,2407,2407,962,964,50.0,50.0
E17,distilbert,fedavg,quantity,,0.0,42,5,4814,2407,2407,288,2888,50.0,50.0
E18,distilbert,fedprox,quantity,,0.1,42,5,4814,2407,2407,288,2888,50.0,50.0
E19,tinybert,fedavg,quantity,,0.0,42,5,4814,2407,2407,288,2888,50.0,50.0
E20,tinybert,fedprox,quantity,,0.1,42,5,4814,2407,2407,288,2888,50.0,50.0
