experiment_id,model,aggregation,non_iid_type,alpha,mu,seed,client_id,total,positive_phishing_or_malicious,negative_legitimate,positive_pct,negative_pct,training_share_pct,mean_text_length,median_text_length,min_text_length,max_text_length
E1,distilbert,fedavg,label_skew_iid,100.0,0.0,42,1,1031,504,527,48.8846,51.1154,21.4167,1754.91,821.0,49,70469
E1,distilbert,fedavg,label_skew_iid,100.0,0.0,42,2,940,498,442,52.9787,47.0213,19.5264,1912.53,804.0,27,129720
E1,distilbert,fedavg,label_skew_iid,100.0,0.0,42,3,951,487,464,51.2093,48.7907,19.7549,2246.01,855.0,26,230452
E1,distilbert,fedavg,label_skew_iid,100.0,0.0,42,4,1022,491,531,48.0431,51.9569,21.2297,1719.74,834.0,33,43918
E1,distilbert,fedavg,label_skew_iid,100.0,0.0,42,5,870,427,443,49.0805,50.9195,18.0723,6989.17,796.0,21,4503043
E2,distilbert,fedavg,label_skew_moderate,0.5,0.0,42,1,818,61,757,7.4572,92.5428,16.9921,1762.89,844.5,98,70469
E2,distilbert,fedavg,label_skew_moderate,0.5,0.0,42,2,1965,1795,170,91.3486,8.6514,40.8184,4283.39,832.0,26,4503043
E2,distilbert,fedavg,label_skew_moderate,0.5,0.0,42,3,603,153,450,25.3731,74.6269,12.526,2277.74,799.0,33,123994
E2,distilbert,fedavg,label_skew_moderate,0.5,0.0,42,4,429,44,385,10.2564,89.7436,8.9115,1488.49,909.0,107,15706
E2,distilbert,fedavg,label_skew_moderate,0.5,0.0,42,5,999,354,645,35.4354,64.5646,20.752,1711.96,791.0,21,114423
E3,distilbert,fedavg,label_skew_severe,0.1,0.0,42,1,1392,0,1392,0.0,100.0,28.9157,1950.5,819.0,98,129720
E3,distilbert,fedavg,label_skew_severe,0.1,0.0,42,2,2397,2395,2,99.9166,0.0834,49.7923,3816.93,822.0,21,4503043
E3,distilbert,fedavg,label_skew_severe,0.1,0.0,42,3,100,12,88,12.0,88.0,2.0773,1837.41,1076.0,34,15706
E3,distilbert,fedavg,label_skew_severe,0.1,0.0,42,4,47,0,47,0.0,100.0,0.9763,1392.04,695.0,115,11469
E3,distilbert,fedavg,label_skew_severe,0.1,0.0,42,5,878,0,878,0.0,100.0,18.2385,1671.69,800.5,98,114423
E4,distilbert,fedavg,feature_skew,,0.0,42,1,962,481,481,50.0,50.0,19.9834,857.19,316.0,21,22014
E4,distilbert,fedavg,feature_skew,,0.0,42,2,962,481,481,50.0,50.0,19.9834,1194.58,537.0,103,70184
E4,distilbert,fedavg,feature_skew,,0.0,42,3,964,482,482,50.0,50.0,20.0249,1377.54,812.5,100,114423
E4,distilbert,fedavg,feature_skew,,0.0,42,4,962,481,481,50.0,50.0,19.9834,1625.95,1250.0,98,129720
E4,distilbert,fedavg,feature_skew,,0.0,42,5,964,482,482,50.0,50.0,20.0249,9040.75,2269.0,102,4503043
E5,distilbert,fedprox,label_skew_iid,100.0,0.1,42,1,1031,504,527,48.8846,51.1154,21.4167,1754.91,821.0,49,70469
E5,distilbert,fedprox,label_skew_iid,100.0,0.1,42,2,940,498,442,52.9787,47.0213,19.5264,1912.53,804.0,27,129720
E5,distilbert,fedprox,label_skew_iid,100.0,0.1,42,3,951,487,464,51.2093,48.7907,19.7549,2246.01,855.0,26,230452
E5,distilbert,fedprox,label_skew_iid,100.0,0.1,42,4,1022,491,531,48.0431,51.9569,21.2297,1719.74,834.0,33,43918
E5,distilbert,fedprox,label_skew_iid,100.0,0.1,42,5,870,427,443,49.0805,50.9195,18.0723,6989.17,796.0,21,4503043
E6,distilbert,fedprox,label_skew_moderate,0.5,0.1,42,1,818,61,757,7.4572,92.5428,16.9921,1762.89,844.5,98,70469
E6,distilbert,fedprox,label_skew_moderate,0.5,0.1,42,2,1965,1795,170,91.3486,8.6514,40.8184,4283.39,832.0,26,4503043
E6,distilbert,fedprox,label_skew_moderate,0.5,0.1,42,3,603,153,450,25.3731,74.6269,12.526,2277.74,799.0,33,123994
E6,distilbert,fedprox,label_skew_moderate,0.5,0.1,42,4,429,44,385,10.2564,89.7436,8.9115,1488.49,909.0,107,15706
E6,distilbert,fedprox,label_skew_moderate,0.5,0.1,42,5,999,354,645,35.4354,64.5646,20.752,1711.96,791.0,21,114423
E7,distilbert,fedprox,label_skew_severe,0.1,0.1,42,1,1392,0,1392,0.0,100.0,28.9157,1950.5,819.0,98,129720
E7,distilbert,fedprox,label_skew_severe,0.1,0.1,42,2,2397,2395,2,99.9166,0.0834,49.7923,3816.93,822.0,21,4503043
E7,distilbert,fedprox,label_skew_severe,0.1,0.1,42,3,100,12,88,12.0,88.0,2.0773,1837.41,1076.0,34,15706
E7,distilbert,fedprox,label_skew_severe,0.1,0.1,42,4,47,0,47,0.0,100.0,0.9763,1392.04,695.0,115,11469
E7,distilbert,fedprox,label_skew_severe,0.1,0.1,42,5,878,0,878,0.0,100.0,18.2385,1671.69,800.5,98,114423
E8,distilbert,fedprox,feature_skew,,0.1,42,1,962,481,481,50.0,50.0,19.9834,857.19,316.0,21,22014
E8,distilbert,fedprox,feature_skew,,0.1,42,2,962,481,481,50.0,50.0,19.9834,1194.58,537.0,103,70184
E8,distilbert,fedprox,feature_skew,,0.1,42,3,964,482,482,50.0,50.0,20.0249,1377.54,812.5,100,114423
E8,distilbert,fedprox,feature_skew,,0.1,42,4,962,481,481,50.0,50.0,19.9834,1625.95,1250.0,98,129720
E8,distilbert,fedprox,feature_skew,,0.1,42,5,964,482,482,50.0,50.0,20.0249,9040.75,2269.0,102,4503043
E9,tinybert,fedavg,label_skew_iid,100.0,0.0,42,1,1031,504,527,48.8846,51.1154,21.4167,1754.91,821.0,49,70469
E9,tinybert,fedavg,label_skew_iid,100.0,0.0,42,2,940,498,442,52.9787,47.0213,19.5264,1912.53,804.0,27,129720
E9,tinybert,fedavg,label_skew_iid,100.0,0.0,42,3,951,487,464,51.2093,48.7907,19.7549,2246.01,855.0,26,230452
E9,tinybert,fedavg,label_skew_iid,100.0,0.0,42,4,1022,491,531,48.0431,51.9569,21.2297,1719.74,834.0,33,43918
E9,tinybert,fedavg,label_skew_iid,100.0,0.0,42,5,870,427,443,49.0805,50.9195,18.0723,6989.17,796.0,21,4503043
E10,tinybert,fedavg,label_skew_moderate,0.5,0.0,42,1,818,61,757,7.4572,92.5428,16.9921,1762.89,844.5,98,70469
E10,tinybert,fedavg,label_skew_moderate,0.5,0.0,42,2,1965,1795,170,91.3486,8.6514,40.8184,4283.39,832.0,26,4503043
E10,tinybert,fedavg,label_skew_moderate,0.5,0.0,42,3,603,153,450,25.3731,74.6269,12.526,2277.74,799.0,33,123994
E10,tinybert,fedavg,label_skew_moderate,0.5,0.0,42,4,429,44,385,10.2564,89.7436,8.9115,1488.49,909.0,107,15706
E10,tinybert,fedavg,label_skew_moderate,0.5,0.0,42,5,999,354,645,35.4354,64.5646,20.752,1711.96,791.0,21,114423
E11,tinybert,fedavg,label_skew_severe,0.1,0.0,42,1,1392,0,1392,0.0,100.0,28.9157,1950.5,819.0,98,129720
E11,tinybert,fedavg,label_skew_severe,0.1,0.0,42,2,2397,2395,2,99.9166,0.0834,49.7923,3816.93,822.0,21,4503043
E11,tinybert,fedavg,label_skew_severe,0.1,0.0,42,3,100,12,88,12.0,88.0,2.0773,1837.41,1076.0,34,15706
E11,tinybert,fedavg,label_skew_severe,0.1,0.0,42,4,47,0,47,0.0,100.0,0.9763,1392.04,695.0,115,11469
E11,tinybert,fedavg,label_skew_severe,0.1,0.0,42,5,878,0,878,0.0,100.0,18.2385,1671.69,800.5,98,114423
E12,tinybert,fedavg,feature_skew,,0.0,42,1,962,481,481,50.0,50.0,19.9834,857.19,316.0,21,22014
E12,tinybert,fedavg,feature_skew,,0.0,42,2,962,481,481,50.0,50.0,19.9834,1194.58,537.0,103,70184
E12,tinybert,fedavg,feature_skew,,0.0,42,3,964,482,482,50.0,50.0,20.0249,1377.54,812.5,100,114423
E12,tinybert,fedavg,feature_skew,,0.0,42,4,962,481,481,50.0,50.0,19.9834,1625.95,1250.0,98,129720
E12,tinybert,fedavg,feature_skew,,0.0,42,5,964,482,482,50.0,50.0,20.0249,9040.75,2269.0,102,4503043
E13,tinybert,fedprox,label_skew_iid,100.0,0.1,42,1,1031,504,527,48.8846,51.1154,21.4167,1754.91,821.0,49,70469
E13,tinybert,fedprox,label_skew_iid,100.0,0.1,42,2,940,498,442,52.9787,47.0213,19.5264,1912.53,804.0,27,129720
E13,tinybert,fedprox,label_skew_iid,100.0,0.1,42,3,951,487,464,51.2093,48.7907,19.7549,2246.01,855.0,26,230452
E13,tinybert,fedprox,label_skew_iid,100.0,0.1,42,4,1022,491,531,48.0431,51.9569,21.2297,1719.74,834.0,33,43918
E13,tinybert,fedprox,label_skew_iid,100.0,0.1,42,5,870,427,443,49.0805,50.9195,18.0723,6989.17,796.0,21,4503043
E14,tinybert,fedprox,label_skew_moderate,0.5,0.1,42,1,818,61,757,7.4572,92.5428,16.9921,1762.89,844.5,98,70469
E14,tinybert,fedprox,label_skew_moderate,0.5,0.1,42,2,1965,1795,170,91.3486,8.6514,40.8184,4283.39,832.0,26,4503043
E14,tinybert,fedprox,label_skew_moderate,0.5,0.1,42,3,603,153,450,25.3731,74.6269,12.526,2277.74,799.0,33,123994
E14,tinybert,fedprox,label_skew_moderate,0.5,0.1,42,4,429,44,385,10.2564,89.7436,8.9115,1488.49,909.0,107,15706
E14,tinybert,fedprox,label_skew_moderate,0.5,0.1,42,5,999,354,645,35.4354,64.5646,20.752,1711.96,791.0,21,114423
E15,tinybert,fedprox,label_skew_severe,0.1,0.1,42,1,1392,0,1392,0.0,100.0,28.9157,1950.5,819.0,98,129720
E15,tinybert,fedprox,label_skew_severe,0.1,0.1,42,2,2397,2395,2,99.9166,0.0834,49.7923,3816.93,822.0,21,4503043
E15,tinybert,fedprox,label_skew_severe,0.1,0.1,42,3,100,12,88,12.0,88.0,2.0773,1837.41,1076.0,34,15706
E15,tinybert,fedprox,label_skew_severe,0.1,0.1,42,4,47,0,47,0.0,100.0,0.9763,1392.04,695.0,115,11469
E15,tinybert,fedprox,label_skew_severe,0.1,0.1,42,5,878,0,878,0.0,100.0,18.2385,1671.69,800.5,98,114423
E16,tinybert,fedprox,feature_skew,,0.1,42,1,962,481,481,50.0,50.0,19.9834,857.19,316.0,21,22014
E16,tinybert,fedprox,feature_skew,,0.1,42,2,962,481,481,50.0,50.0,19.9834,1194.58,537.0,103,70184
E16,tinybert,fedprox,feature_skew,,0.1,42,3,964,482,482,50.0,50.0,20.0249,1377.54,812.5,100,114423
E16,tinybert,fedprox,feature_skew,,0.1,42,4,962,481,481,50.0,50.0,19.9834,1625.95,1250.0,98,129720
E16,tinybert,fedprox,feature_skew,,0.1,42,5,964,482,482,50.0,50.0,20.0249,9040.75,2269.0,102,4503043
E17,distilbert,fedavg,quantity,,0.0,42,1,2888,1444,1444,50.0,50.0,59.9917,3551.82,843.5,26,4503043
E17,distilbert,fedavg,quantity,,0.0,42,2,962,481,481,50.0,50.0,19.9834,1621.75,809.5,33,34774
E17,distilbert,fedavg,quantity,,0.0,42,3,386,193,193,50.0,50.0,8.0183,2001.15,829.5,21,123994
E17,distilbert,fedavg,quantity,,0.0,42,4,290,145,145,50.0,50.0,6.0241,2035.0,790.5,21,114423
E17,distilbert,fedavg,quantity,,0.0,42,5,288,144,144,50.0,50.0,5.9826,1391.75,770.5,34,15081
E18,distilbert,fedprox,quantity,,0.1,42,1,2888,1444,1444,50.0,50.0,59.9917,3551.82,843.5,26,4503043
E18,distilbert,fedprox,quantity,,0.1,42,2,962,481,481,50.0,50.0,19.9834,1621.75,809.5,33,34774
E18,distilbert,fedprox,quantity,,0.1,42,3,386,193,193,50.0,50.0,8.0183,2001.15,829.5,21,123994
E18,distilbert,fedprox,quantity,,0.1,42,4,290,145,145,50.0,50.0,6.0241,2035.0,790.5,21,114423
E18,distilbert,fedprox,quantity,,0.1,42,5,288,144,144,50.0,50.0,5.9826,1391.75,770.5,34,15081
E19,tinybert,fedavg,quantity,,0.0,42,1,2888,1444,1444,50.0,50.0,59.9917,3551.82,843.5,26,4503043
E19,tinybert,fedavg,quantity,,0.0,42,2,962,481,481,50.0,50.0,19.9834,1621.75,809.5,33,34774
E19,tinybert,fedavg,quantity,,0.0,42,3,386,193,193,50.0,50.0,8.0183,2001.15,829.5,21,123994
E19,tinybert,fedavg,quantity,,0.0,42,4,290,145,145,50.0,50.0,6.0241,2035.0,790.5,21,114423
E19,tinybert,fedavg,quantity,,0.0,42,5,288,144,144,50.0,50.0,5.9826,1391.75,770.5,34,15081
E20,tinybert,fedprox,quantity,,0.1,42,1,2888,1444,1444,50.0,50.0,59.9917,3551.82,843.5,26,4503043
E20,tinybert,fedprox,quantity,,0.1,42,2,962,481,481,50.0,50.0,19.9834,1621.75,809.5,33,34774
E20,tinybert,fedprox,quantity,,0.1,42,3,386,193,193,50.0,50.0,8.0183,2001.15,829.5,21,123994
E20,tinybert,fedprox,quantity,,0.1,42,4,290,145,145,50.0,50.0,6.0241,2035.0,790.5,21,114423
E20,tinybert,fedprox,quantity,,0.1,42,5,288,144,144,50.0,50.0,5.9826,1391.75,770.5,34,15081
